theta2 RA DEC
0.024 355.154 57.6785
0.139 355.216 58.1713
0.159 355.332 58.1902
0.295 354.886 58.2027
0.306 355.355 57.2569
0.161 355.483 58.1267
0.242 354.801 57.599
0.177 354.99 58.131
0.29 355.098 57.2833
0.194 354.81 57.7769
0.019 355.173 57.9144
0.08 354.97 57.8365
0.102 355.388 58.0879
0.177 354.879 57.6011
0.057 355.325 57.5733
0.212 355.358 57.3525
0.22 355.383 58.2498
0.354 355.473 58.3514
0.023 355.383 57.8732
0.226 355.236 58.2752
0.236 355.719 57.927
0.291 354.722 57.9107
0.392 355.679 58.2556
0.247 355.115 58.2784
0.043 355.329 57.6083
0.132 354.927 57.9672
0.255 355.685 57.5428
0.105 354.936 57.8791
0.061 355.441 57.9563
0.077 355.322 58.068
0.263 355.695 58.0554
0.243 354.978 58.211
0.239 354.935 57.4264
0.124 355.593 57.8786
0.137 355.593 57.9393
0.029 355.382 57.907
0.044 355.459 57.7837
0.3 355.12 57.2678
0.167 355.601 58.0098
0.09 355 57.6337
0.326 355.354 57.2387
0.135 355.163 57.443
0.156 355.544 58.0634
0.19 355.665 57.6669
0.397 355.28 58.4294
0.032 355.288 57.9749
0.107 355.576 57.8288
0.099 354.939 57.8452
0.249 354.85 58.0982
0.238 354.926 58.1648
0.029 355.302 57.6378
0.092 354.959 57.8856
0.18 354.868 57.9856
0.235 355.229 57.3157
0.245 354.988 58.2199
0.338 354.955 58.3007
0.357 354.828 58.2235
0.336 355.364 57.2316
0.134 354.909 57.9324
0.018 355.384 57.8085
0.144 355.548 57.5653
0.258 354.979 57.3707
0.054 355.025 57.8573
0.015 355.132 57.8316
0.319 355.282 57.2361
0.18 355.627 57.995
0.035 355.144 57.9542
0.066 355.431 57.6175
0.302 355.559 57.3459
0.165 354.878 57.6372
0.009 355.183 57.7332
0.278 354.864 58.1587
0.095 354.943 57.8256
0.295 355.685 57.4747
0.331 355.776 58.0328
0.032 355.18 57.9644
0.14 355.011 57.5124
0.159 355.563 58.0472
0.328 354.844 57.3958
0.177 355.598 57.5635
0.038 355.321 57.9816
0.11 355.582 57.793
0.206 355.694 57.7064
0.247 355.05 58.2551
0.208 355.284 58.2548
0.155 354.856 57.8028
0.396 355.208 57.1721
0.397 355.119 57.1838
0.32 355.807 57.7021
0.141 355.199 57.428
0.228 355.3 58.2749
0.304 354.984 58.2832
0.056 355.156 58.0174
0.097 355.523 57.949
0.374 354.778 58.1892
0.152 355.484 58.1116
0.218 355.549 57.4412
0.007 355.33 57.825
0.366 355.75 58.141
0.051 355.469 57.8541
0.321 355.809 57.8916
0.279 355.487 57.3281
0.12 354.904 57.7879
0.399 355.235 57.1685
0.301 354.849 58.1746
0.398 354.784 57.3752
0.249 355.256 57.301
0.24 355.591 58.1517
0.15 355.505 57.5082
0.367 355.005 58.3541
0.294 354.94 58.2447
0.197 354.982 58.154
0.342 354.896 58.2657
0.374 355.566 57.2762
0.313 354.798 58.1296
0.374 354.836 58.2498
0.064 355.429 57.6213
0.023 355.175 57.9319
0.273 354.945 58.2242
0.274 354.905 57.4066
0.16 355.118 58.1777
0.038 355.355 57.636
0.126 355.265 57.4453
0.186 355.647 57.9676
0.309 354.868 58.2041
0.253 355.252 58.303
0.339 355.743 58.1103
0.257 354.787 58.0058
0.244 355.022 58.238
0.082 355.531 57.7438
0.249 355.634 57.4819
0.3 354.794 57.4973
0.283 355.782 57.8133
0.194 354.811 57.764
0.094 355.427 57.5495
0.297 355.252 58.345
0.198 355.227 58.2444
0.017 355.12 57.8064
0.121 355.572 57.9325
0.318 354.691 57.8711
0.025 355.336 57.9328
0.211 355.113 57.3616
0.086 355.477 57.9852
0.206 355.486 58.1878
0.211 354.807 57.6774
0.061 355.489 57.7362
0.107 355.45 58.0585
0.065 355.231 57.5458
0.122 355.569 57.9423
0.356 355.28 57.2041
0.092 355.507 57.9605
0.387 355.774 57.4649
0.077 355.497 57.9265
0.257 355.543 57.3866
0.287 355.698 57.5067
0.01 355.325 57.7338
0.253 354.91 57.429
0.095 355.541 57.9029
0.126 355.601 57.8512
0.07 355.176 57.5459
0.068 355.504 57.7418
0.157 355.631 57.9076
0.367 354.713 57.52
0.106 354.979 57.6197
0.092 355.332 57.508
0.046 355.2 57.5913
0.148 355.019 57.4921
0.036 355.434 57.8457
0.191 354.814 57.8292
0.225 355.724 57.8091
0.197 355.65 57.6074
0.305 355.724 57.5167
0.284 355.781 57.7536
0.21 355.653 57.5822
0.012 355.179 57.8834
0.034 355.399 57.9088
0.393 354.801 57.3621
0.276 355.762 57.6833
0.037 355.44 57.7676
0.045 355.208 58.008
0.35 355.509 58.3317
0.374 355.767 58.1263
0.003 355.246 57.8546
0.229 355.312 58.2745
0.131 355.612 57.7903
0.065 355.04 57.6547
0.357 354.664 57.6843
0.042 355.228 58.0037
0.208 354.795 57.8336
0.148 355.499 58.0929
0.282 354.765 58.0159
0.002 355.258 57.756
0.097 355.405 57.5301
